cell,init,arm,n_pos,R,cell_median_R,pooled_descriptive_median_R
libero_goal_t5_vs_t2,0,RAND,128,-0.014425779561523988,0.015973548680246082,0.07885590549799881
libero_goal_t5_vs_t2,0,LOC,256,0.007946897252306283,0.10320150494541996,0.08185923987198931
libero_goal_t5_vs_t2,0,RAND,256,0.08368207944695574,0.1331744563158861,0.18020413913340322
libero_goal_t5_vs_t2,0,LOC,512,0.7285010961325362,0.7474612909043261,0.7732458939775065
libero_goal_t5_vs_t2,0,RAND,512,0.7285010961325362,0.7474612909043261,0.7732458939775065
libero_goal_t5_vs_t2,1,LOC,4,0.001473208911674801,0.0007820208969872829,0.0016333555509041912
libero_goal_t5_vs_t2,1,RAND,4,8.744389153732413e-05,8.744389153732413e-05,0.00011898447711440095
libero_goal_t5_vs_t2,1,LOC,8,0.0026997960569081292,-0.0007678249840877452,0.004266180166097809
libero_goal_t5_vs_t2,1,RAND,8,0.00023187915969084846,0.001561274202906427,0.0011299765445429199
libero_goal_t5_vs_t2,1,LOC,16,0.002888893581774,-0.0018249288855435653,0.005613640435539619
libero_goal_t5_vs_t2,1,RAND,16,0.0033249833425567673,0.0033249833425567673,0.0007504291551753025
libero_goal_t5_vs_t2,1,LOC,32,0.007950934697263717,0.007950934697263717,0.010097458406011315
libero_goal_t5_vs_t2,1,RAND,32,0.0062356722106012225,0.0062356722106012225,0.008974087541989327
libero_goal_t5_vs_t2,1,LOC,64,0.01610337956466371,0.01577459434563132,0.018408005189508227
libero_goal_t5_vs_t2,1,RAND,64,0.0016263588665439447,0.0016263588665439447,0.011327657846378257
libero_goal_t5_vs_t2,1,LOC,128,0.05732984498458778,0.029407672109392314,0.043358237285080065
libero_goal_t5_vs_t2,1,RAND,128,0.10087565747275255,0.015973548680246082,0.07885590549799881
libero_goal_t5_vs_t2,1,LOC,256,0.10320150494541996,0.10320150494541996,0.08185923987198931
